,0
879,이쁘게
880,만드는게
881,중요한게
882,아닌데
883,안정성과
884,편리하고
885,다양한
886,기능을
887,요구하는게
888,기업인데
889,어설프게
890,카뱅앱
891,따라한다고
892,될
893,문제가
894,아닌데
895,충격이라
896,긴
897,리뷰
898,남김
899,ui가
900,깔끔하게
901,개선되었네요
902,매우
903,만족스럽습니다~~
904,글씨가
905,너무작아
906,가독성이
907,엄청
908,떨어짐
909,국민은행
910,농협앱을
911,참고하면
912,좋겠네요
913,앱도
914,느리고
915,이체시
916,돈
917,모자를때
918,자금모으기
919,편한것
920,같아요
921,굳굳
922,편하게
923,해놓으셨군요
924,쓰겠습니다
925,기존
926,앱
927,훨씬
928,편하고
929,비대면
930,업무로
931,거래할수있어
932,좋습니다
933,아이디찾기
934,누르고
935,아무것도
936,안눌러지는데
937,저만
938,그럴까요
939,메뉴만
940,눌러집니다
941,사용하기
942,쉽고
943,간편해요
944,농협
945,앱
946,쓰다
947,넘어오니
948,선녀로
949,보인다
950,알람이
951,안우는게
952,말이되냐
953,몇번을
954,깔아도
955,열리지가
956,않네요
957,아주아주
958,좋아요
959,아
960,바꿀거면
961,알려나
962,주던지
963,이거
964,돈보내야하는데
965,더럽게
966,만들어서
967,인증도
968,안되고
969,짜증나네
970,왜
971,적응해서
972,쓰고있는데
973,멀쩡한
974,어플은
975,폐기해버리고
976,다른
977,어플을
978,설치하라고
979,하는거죠
980,은행입장에서
981,편할지
982,모르지만
983,이용자는
984,어플깔고
985,사용법
986,익히려면
987,얼마나
988,번거로운지
989,압니까
990,설문조사등
991,이용자의
992,의견은
993,물어보지도
994,않는
995,이런식의
996,일방적인
997,정책등은
998,정말
999,지양
1000,해야합니다
1001,좋아요
1002,외근중에
1003,사용할수
1004,있어
1005,편해졌어요
1006,기업
1007,전용으로
1008,나와서
1009,좋습니다
1010,굿굿~~
1011,실행이
1012,안되서
1013,거래처
1014,송금을
1015,못해
1016,매우
1017,불편하네요
1018,사업자가
1019,없는데
1020,뭔사업자
1021,번호를
1022,입력해
1023,핸드폰인증을
1024,몇번이나
1025,하는지
1026,모르겟네
1027,인증을햇으면
1028,넘어가야지
1029,뭔사업자야
1030,UI가
1031,편리해요~
1032,화면이
1033,예뻐서
1034,좋네요~^^
1035,별
1036,한개
1037,주기도
1038,아까움
1039,나
1040,사업자
1041,아닌데
1042,사업자
1043,등록
1044,창
1045,떠서
1046,짜증남
1047,OMR카드
1048,잃어버려서
1049,받으려
1050,들어갔는데
1051,계속
1052,이창
1053,터서
1054,짜증남
1055,검색창에
1056,쳐도
1057,결과가
1058,없다뜨고
1059,짜증남
1060,은행
1061,방문없이
1062,비대면으로
1063,할
1064,수
1065,있는
1066,업무가
1067,많아져서
1068,좋네요
1069,이전
1070,앱보다
1071,알아보기
1072,어렵네여
1073,쓰레기같은
1074,앱
1075,아오
1076,이럴거면
1077,왜
1078,만든거야
1079,사업자
1080,신규가입하려고
1081,했더니만
1082,뫼비우스
1083,띠도
1084,아니고
1085,계속
1086,돌고
1087,도네
1088,신규사업자
1089,가입
1090,로그인
1091,휴대폰인증
1092,사업자확인
1093,인증서없음
1094,발급
1095,로그인
1096,휴대폰인증
1097,사업자
1098,확인
1099,장난하냐
1100,더러워서
1101,은행방문하고
1102,만다
1103,하오
1104,이거
1105,때문에
1106,한시간동안
1107,헛짓거리했네
1108,뭔가요
1109,바빠죽겠는데
1110,계속랙걸리고
1111,껏다켰다를
1112,반복.너무
1113,안좋아서
1114,은행을
1115,바꾸고싶을정도네오ㅡㅠ
1116,쓰기
1117,편리하고
1118,좋아요
1119,이벤트도
1120,자주하고
1121,이용하고있습니다
1122,감사합니다~
1123,자꾸없데이트는되는데
1124,기능은
1125,점점불편해지는듯
1126,오~
1127,쓰기
1128,편리
1129,깔끔하고
1130,편리합니다.ㅎㅎ
1131,엄동설한에
1132,은행
1133,안가도
1134,되겠어요
1135,주거래
1136,여기로
1137,옮겨야겠네요
1138,편해질
1139,듯
1140,깔끔하고
1141,쓰기
1142,편합니다
1143,로그인시
1144,휴대폰자판
1145,소문자로해도
1146,대문자로만작성됩니다
1147,확인해주세요
1148,편리하기도하고
1149,효율적이네요
1150,우리은행
1151,고객으로서
1152,진심으로
1153,감사드립니다
1154,빠르고
1155,이용하기
1156,좋아요
1157,많이
1158,간단하고
1159,편하네요
1160,사용하기
1161,편리하고
1162,좋습니다
1163,앱
1164,더럽게
1165,느리고
1166,불편한데
1167,그거
1168,개선좀
1169,하세요
1170,느려요
1171,이래서
1172,쓰겠습니까
1173,주거래은행이라서
1174,어쩔수
1175,없어서
1176,쓰지
1177,원
1178,이제
1179,제대로
1180,만들었네요.일단
1181,사용하기
1182,좋아
1183,보입니다
1184,사용하기
1185,편해요ㆍ
1186,사용이
1187,편리하게
1188,되었네요
1189,사용하는데
1190,편리합니다
1191,편리하고
1192,좋아요
1193,기업
1194,입출금
1195,알림은
1196,왜
1197,안만들어주는건가요
1198,충격적이네요
1199,언제쯤
1200,가능할까요
1201,앱관리좀
1202,해요.개인뱅킹도
1203,기업도
1204,로딩도
1205,안되고
1206,먹통인데
1207,무슨
1208,이용을
1209,하라는건지
1210,미치겠네
1211,이거
1212,뭐같은
1213,어플이네
1214,작동을
1215,안하는데
1216,뭣하러
1217,만들었냐
1218,편리하고
1219,좋아요
1220,^^
1221,최고예요
1222,메뉴가
1223,많아졌네요
1224,정말
1225,이용하기
1226,편하네요
1227,사용하기
1228,편하고
1229,좋네요
1230,오류에
1231,랙에
1232,다운증상까지
1233,골고루함
1234,아
1235,모야
1236,돈보내야
1237,하는데
1238,하라는게
1239,많아
1240,짜증나
1241,사용하기
1242,편합니다
1243,개발자
1244,감사합니다
1245,국민
1246,기업
1247,뱅킹서비스보다
1248,훨씬
1249,사용하기가
1250,편하네요
1251,시인성도
1252,조코
1253,기존앱에서
1254,법인계좌
1255,사용하였는데
1256,왜
1257,새
1258,앱에선
1259,안되죠
1260,많이
1261,개선
1262,된
1263,같습니다
1264,괜찮네요
1265,업데이트
1266,했는데
1267,역시
1268,안됨
1269,ㅜㅜ
1270,사용하기
1271,편하고
1272,좋네요
1273,기업용
1274,어플인데
1275,기업
1276,인증서가
1277,안
1278,나오면
1279,어쩌자는건지
1280,감사합니다.^^
1281,깔끔하고
1282,편리하네요
1283,최악
1284,거래내역에서
1285,잔고볼라면
1286,일일이
1287,눌러야함
1288,왜
1289,기업고객은
1290,알림
1291,푸쉬가
1292,없냐
1293,다른
1294,은행들은
1295,기본인데
1296,여기
1297,유료
1298,sms만
1299,있네
1300,그것도
1301,번호당
1302,900원
1303,타행보다
1304,훨씬
1305,비싸.에레이
1306,화나고
1307,욕나오고
1308,그럽니다
1309,뭔놈의
1310,랙이
1311,이리
1312,자주걸리고
1313,화면은
1314,멈추고
1315,주거래
1316,은행
1317,바꾸고
1318,싶은심정입니다
1319,어서
1320,조치를
1321,취해주시기바랍니다
1322,편리합니다
1323,사용하기
1324,편해졌어요
1325,굿~
1326,보내는
1327,사람
1328,받는사람란
1329,문구를
1330,작성할수
1331,없어
1332,불편합니다
1333,기존에는
1334,받는사람
1335,보내는사람
1336,표기
1337,란이
1338,있었는데
1339,앱은
1340,없어서
1341,불편하네요
1342,ㅡ개선해주세요
1343,편리
1344,하네요
1345,잘사용하고
1346,있습니다👍
1347,매우
1348,편리합니다
1349,불편하고
1350,비밀번호
1351,찾기에러만뜸
1352,비대면상담
1353,좋습니다
1354,드뎌
1355,리뉴얼
1356,되었네요~
1357,^^
1358,편해서
1359,좋아요
1360,감사해요
1361,좋아요
1362,쓸께요
1363,편리함~~~~♡
1364,감사히
1365,사용하고
1366,있습니다
1367,이전보다는
1368,좋아진듯
1369,좋아요
1370,그리고
1371,제가
1372,좋아하는
1373,앱이에요
1374,업데이트
1375,무쟈게
1376,많네여
1377,사용하기
1378,편해서
1379,좋아요ㆍ
1380,편하게
1381,쓰겠습니다
1382,편리합니다
1383,추천
1384,편하네요
1385,사용하기좋네요
1386,아이디가없어서
1387,회원가입을해야하는상황이면
1388,어캄
1389,좋아요
1390,완추해요~
1391,사용하기
1392,편하네요
1393,편리합니다
1394,사용하기
1395,편하네요
1396,다른
1397,은행것
1398,좋네요
1399,사용하기
1400,편합니다
1401,쓰기편하겠네요
1402,불편해요
1403,써봅니다~~
1404,다운로드가
1405,안되네요
1406,기업도
1407,알림
1408,앱이
1409,있나요
1410,사용하기
1411,편해요
1412,기업뱅킹앱도
1413,입출금시
1414,통보될
1415,수
1416,있도록
1417,해주세요
1418,오
1419,즉시이체
1420,좋네요
1421,앱설치가
1422,안되나요
1423,안좋아
1424,쓸만하네요
1425,좋아요
1426,좋아요.추천합니다
1427,사용하기
1428,편합니다
1429,인증하다
1430,암걸림
1431,노래도배우고
1432,쓸만함
1433,기업앱
1434,젤
1435,나음
1436,안드로이드
1437,12
1438,운행안됨
1439,공인인증서
1440,안보여요
1441,불편해요~
1442,편리해요
1443,불편해요
1444,좋아요
1445,좋아요
1446,좋음
1447,굿
1448,기업
1449,굳이
1450,좋네요
1451,쩜쩜
1452,좋아요
1453,좋은데요
1454,굿
1455,조아여
1456,편리합니다
1457,좋아요
1458,좋아요
1459,좋아요
1460,Good~~
1461,개판
1462,좋아요
1463,굿
1464,편리합니다
1465,베리굿
1466,쓰기좋음
1467,좋습니다
1468,됴아됴아요
1469,좋아졌어요
1470,산뜻합니다
1471,굿~~~
1472,GOOD
1473,화딱지나게
1474,하는
1475,좋아요
